state_name,county_name,census_tract_name,census_tract_geoid
Illinois,Cook County,Census Tract 8387,17031838700
Illinois,Cook County,Census Tract 8388,17031838800
Illinois,Cook County,Census Tract 8392,17031839200
Illinois,Cook County,Census Tract 8395,17031839500
Illinois,Cook County,Census Tract 8396,17031839600
Illinois,Cook County,Census Tract 8403,17031840300
Illinois,Cook County,Census Tract 8404,17031840400
Illinois,Cook County,Census Tract 8407,17031840700
Illinois,Cook County,Census Tract 8408,17031840800
Illinois,Cook County,Census Tract 8410,17031841000
Illinois,Cook County,Census Tract 8412,17031841200
Illinois,Cook County,Census Tract 8413,17031841300
Illinois,Cook County,Census Tract 8414,17031841400
Illinois,Cook County,Census Tract 8415,17031841500
Illinois,Cook County,Census Tract 8416,17031841600
Illinois,Cook County,Census Tract 8417,17031841700
Illinois,Cook County,Census Tract 8418,17031841800
Illinois,Cook County,Census Tract 8419,17031841900
Illinois,Cook County,Census Tract 8421,17031842100
Illinois,Cook County,Census Tract 8424,17031842400
Illinois,Cook County,Census Tract 8425,17031842500
Illinois,Cook County,Census Tract 8426,17031842600
Illinois,Cook County,Census Tract 8428,17031842800
Illinois,Cook County,Census Tract 8429,17031842900
Illinois,Cook County,Census Tract 8430,17031843000
Illinois,Cook County,Census Tract 8431,17031843100
Illinois,Cook County,Census Tract 8432,17031843200
Illinois,Cook County,Census Tract 8433,17031843300
Illinois,Cook County,Census Tract 8434,17031843400
Illinois,Cook County,Census Tract 8435,17031843500
Illinois,Cook County,Census Tract 8436,17031843600
Illinois,Cook County,Census Tract 8438,17031843800
Illinois,Cook County,Census Tract 8439,17031843900
Illinois,Crawford County,Census Tract 8804,17033880400
Illinois,DeKalb County,Census Tract 10.01,17037001001
Illinois,DeKalb County,Census Tract 13,17037001300
Illinois,De Witt County,Census Tract 9718,17039971800
Illinois,DuPage County,Census Tract 8411.08,17043841108
Illinois,DuPage County,Census Tract 8426.04,17043842604
Illinois,Edgar County,Census Tract 703,17045070300
Illinois,Effingham County,Census Tract 9508,17049950800
Illinois,Fayette County,Census Tract 9505,17051950500
Illinois,Fayette County,Census Tract 9509,17051950900
Illinois,Franklin County,Census Tract 406,17055040600
Illinois,Fulton County,Census Tract 9534,17057953400
Illinois,Greene County,Census Tract 9737,17061973700
Illinois,Henry County,Census Tract 306,17073030600
Illinois,Jackson County,Census Tract 107,17077010700
Illinois,Jackson County,Census Tract 109,17077010900
Illinois,Jackson County,Census Tract 112,17077011200
Illinois,Jefferson County,Census Tract 509,17081050900
Illinois,Jefferson County,Census Tract 510,17081051000
Illinois,Jefferson County,Census Tract 511,17081051100
Illinois,Jersey County,Census Tract 101,17083010100
Illinois,Kane County,Census Tract 8503.01,17089850301
Illinois,Kane County,Census Tract 8508,17089850800
